"SpatialJoin",28,30,4,4,743.67
"SpatialJoin",28,30,4,5,781.276666666667
"SpatialJoin",28,30,5,4,816.9
"SpatialJoin",28,30,5,5,809.633333333333
"SpatialJoin",28,35,4,4,835.79
"SpatialJoin",28,35,4,5,859.676666666667
"SpatialJoin",28,35,5,4,1016.32666666667
"SpatialJoin",28,35,5,5,1118.01
"SpatialJoin",28,40,4,4,882.286666666667
"SpatialJoin",28,40,4,5,941.92
"SpatialJoin",28,40,5,4,1140.01666666667
"SpatialJoin",28,40,5,5,1263.85
"SpatialJoin",28,45,4,4,1055.81
"SpatialJoin",28,45,4,5,1169.90666666667
"SpatialJoin",28,45,5,4,997.38
"SpatialJoin",28,45,5,5,1168.86333333333
"SpatialJoin",28,50,4,4,1195.83333333333
"SpatialJoin",28,50,4,5,1391.83
"SpatialJoin",28,50,5,4,1168.10333333333
"SpatialJoin",28,50,5,5,1371.78
"SpatialJoin",21,30,4,4,692.61
"SpatialJoin",21,30,4,5,800.91
"SpatialJoin",21,30,5,4,642.23
"SpatialJoin",21,30,5,5,742.92
"SpatialJoin",21,35,4,4,726.64
"SpatialJoin",21,35,4,5,861.34
"SpatialJoin",21,35,5,4,845.53
"SpatialJoin",21,35,5,5,1038.06
"SpatialJoin",21,40,4,4,742.37
"SpatialJoin",21,40,4,5,933.75
"SpatialJoin",21,40,5,4,1112.43
"SpatialJoin",21,40,5,5,1197.24
"SpatialJoin",21,45,4,4,1026.31
"SpatialJoin",21,45,4,5,1078.08
"SpatialJoin",21,45,5,4,966.38
"SpatialJoin",21,45,5,5,1006.9
"SpatialJoin",21,50,4,4,1151.57
"SpatialJoin",21,50,4,5,1265.6
"SpatialJoin",21,50,5,4,1072.2
"SpatialJoin",21,50,5,5,1005.7
